,IUPAC Name,Formula,Common Name,CAS No.,Str(cal/mol/K),Htr(kcal/mol),T_tr,T_m,H,CH3,C2H5,CH2OH,CHFOH,CHClOH,COOH,NH2,CH2NH2,NO2,F,Cl,Br,I,CH2F,CH2Cl,CH2Br,SH,OH,CH(CH3)OH,CH2I,CHO,CH2SH,CONH2,CH(CH3)NH2,C4H9,CO(CH3),COCl,Symmetry,distavg,diststdev,AngAvg,ANGSDEV,Center of Mass,avgdon,avgacc,stdevdon,stdevacc,sumdon,sumacc,Maxdon,Maxacc,moleculetotal,Ravg,Rstdev,Svib(J/mol/K),Volume(bohr**3/mol),Interaction Energy(kJ/mol),E_elec(kJ/mol),E_pauli(kJ/mol),E_dispersion(kJ/mol),E_polarization(kJ/mol),E_CT(kJ/mol),T_m,sphericity,Year
30,tris(hydroxymethyl)ethanoic acid,C(CH2OH)3(COOH),,2831-90-5,75.2,29.77,395.85,492.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.46,0.01,109.46,1.72,0.472013,4.45,6.3,0.606218,0.0,17.8,25.2,5.5,6.3,150.13,34.5,7.0,30.32,1120.47,-163.02,-214.66,197.77,-21.42,-27.42,-37.38,492.0,0.7607984966348849,1995.5
31,"2-Amino-2-hydroxymethyl-1,3-propanediol",C(CH2OH)3(NH2),tris(hydroxymethyl) aminomethane,77-86-1,82.85,33.66,406.24,446.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.18,0.48,109.45,1.02,0.29997399999999996,3.575,6.875,0.909327,0.9959290000000001,14.3,27.5,4.1,8.6,121.13,27.3,7.5,21.78,997.75,-120.59,-368.26,383.11,-28.7,-30.36,-68.01,446.0,0.280697859543833,1973.0
32,"2-(Aminomethyl)-2-(hydroxymethyl)propane-1,3-diol",C(CH2OH)3(CH2NH2),monoamine pentaerythritol,7332-39-0,69.42,24.92,359.0,338.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.47,0.04,109.47,1.1,0.016666,3.575,6.875,0.909327,0.9959290000000001,14.3,27.5,4.1,8.6,135.63,30.8,0.5,26.13,1147.88,-140.28,-245.93,235.97,-20.01,-28.37,-38.63,338.0,0.2549618986853712,2019.0
33,"2,2-Bis(aminomethyl)propane-1,3-diol",C(CH2OH)2(CH2NH2)2,diamine pentaerythritol,63375-50-8,77.37,26.38,341.0,386.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.5,0.04,109.48,1.66,0.011245999999999999,3.05,7.45,1.05,1.15,12.2,29.8,4.1,8.6,134.18,30.5,0.6,25.63,1176.53,-102.41,-157.17,152.08,-29.92,-15.75,-26.86,386.0,0.40189887735133834,2019.0
34,"2-hydroxymethyl 2-nitro-1,3-propanediol",C(CH2OH)3(NO2),Tris(hydroxymethyl)nitromethane,126-11-4,63.83,22.18,347.4,438.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.43,0.03,109.47,1.59,0.388376,3.075,6.1,1.775352,0.34641,12.3,24.4,4.1,6.3,151.12,34.8,7.5,27.49,1075.85,-74.81,-137.25,130.07,-19.24,-15.57,-24.76,438.0,0.5767070182055916,1995.0
35,"2,2,2-trinitroethanol",C(CH2OH)(NO2)3,,918-54-7,57.74,17.99,312.45,345.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.34,0.06,109.42,3.12,0.256445928,1.025,5.7,1.775352,0.34641,4.1,22.8,4.1,6.3,181.06,42.3,7.5,31.63,1057.84,-20.28,-31.47,40.04,-14.52,-1.81,-3.17,345.0,0.6767794802191207,1969.0
36,"2,2-Bis(fluoromethyl)propane-1,3-diol",C(CH2OH)2(CH2F)2,difluoropentaerythritol,70136-55-9,43.07,12.62,293.0,399.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.41,0.04,109.47,1.26,0.043557,2.7,5.1,1.4,1.2,10.8,20.4,4.1,6.3,140.13,32.0,1.1,28.86,1036.85,-107.6,-146.62,142.1,-23.84,-12.74,-22.28,399.0,0.7419894707738368,2019.0
37,2-bromo-2-methyl-propane,C(CH3)3Br,T-BUTYL BROMIDE,507-19-7,27.2,5.65,183.2,256.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.64,0.22,109.44,1.85,0.9889862290000001,0.375,0.725,0.216506,1.255737,1.5,2.9,0.5,2.9,137.02,31.3,32.4,12.3,918.53,-22.61,-24.38,28.66,-14.17,-0.88,-4.66,256.1,0.44700917124179496,2001.0
38,"2,2-dinitropropane-1,3-diol",C(CH2OH)2(NO2)2,,2736-80-3,62.76,24.55,341.0,415.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.39,0.05,109.08,7.24,0.18110578800000002,2.05,5.9,2.05,0.4,8.2,23.6,4.1,6.3,134.088,38.5,8.7,28.99,1067.34,-34.93,-52.47,59.59,-18.26,-3.34,-8.42,415.0,0.6953345035382004,1969.0
39,1-Butanoic acid,C(H)2(C2H5)(COOH),Butyric acid / Butanoic Acid,107-92-6,5.06,1.04,230.0,268.03,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.79,109.46,1.4,0.687578798,1.75,1.575,2.165064,2.72798,7.0,6.3,5.5,6.3,88.11,19.0,16.2,16.56,801.66,-94.3,-254.09,265.9,-7.16,-38.18,-55.9,268.03,0.029089011305253987,1982.0
